id,name,startsOn,endsOn,venue,theme,categories,description
10600770,Study Hour: SAHM ,2024-10-17T13:00:00-04:00,2024-10-17T17:00:00-04:00,"GPH 3rd Floor, Room 359",Social,['Health & Wellness'],"<p>Study Hour with Student Association of Healthcare Management!&nbsp;</p>
<p>Join us for an afternoon of studying, snacks and connecting with other SAHM Members.&nbsp;</p>
<p>We will run through a few study activities and provide snacks to members. We hope to see you there!</p>"
10628401,Club Anime Cover Artist Meeting,2024-10-17T15:30:00-04:00,2024-10-17T17:30:00-04:00,604,Cultural,"['Performance, Music, Dance', 'Media (film, tv, music, animation, etc.)', 'Community']",<p>Join us for karaoke!</p>
10597595,Self Care and Crafts Cafe with Active Minds at NYU,2024-10-17T17:00:00-04:00,2024-10-17T18:00:00-04:00,GCASL Room 388,Social,[],"<p><span style=""font-weight: 400;"">Come to the Active Minds Self Care Cafe to unwind during midterms while engaging in self care activities, such as decorating your own mugs and fun coloring pages! Join us to destress with crafts and tasty treats (hello yummy cookies!).&nbsp;Stick around until the end for a chance to take home some of the fun self-care goodies. You don't want to miss out on this perfect opportunity to recharge and connect with fellow students!</span></p>"
10529880,Bible Study and Dinner,2024-10-17T17:00:00-04:00,2024-10-17T18:00:00-04:00,"Kimmel Center, 903",Spirituality,"['Religion & Spirituality', 'Food & Cuisine', 'General Meeting', 'Community', 'Welcome - Graduate Students', 'Welcome - Undergraduate Students']","<p><span style=""font-weight: 400;"">It's a time for connection and worship over a free dinner, event hosted weekly by NYU's Intervarsity Multiethnic Christian Fellowship. We hope to establish and advance witnessing communities around campus.</span></p>"
10572893,Campus Coffee Crawl: Sip Into Fall,2024-10-17T16:00:00-04:00,2024-10-17T18:00:00-04:00,Pless 1,Social,[],"<p>Join PMs Anyka and Naomi and embrace the cozy fall vibes with our Campus <span class=""il"">Coffee</span> <span class=""il"">Crawl</span>! We'll explore local <span class=""il"">coffee</span> shops around campus, sampling seasonal drinks and treats from their fall menus. From pumpkin spice lattes to cinnamon-swirled pastries, this is the perfect way to warm up and connect with fellow students.</p>
<p>RSVP here:&nbsp;<a href=""https://urldefense.proofpoint.com/v2/url?u=https-3A__forms.gle_w8gx94sC8cBxXjQF6&amp;d=DwQFaQ&amp;c=slrrB7dE8n7gBJbeO0g-IQ&amp;r=OYrIIbd5Pg13xhpyYLW6YQ&amp;m=EQGLrlBPW3rmdTesYCWxqNVvsgzB6atXJCnL5jyRrbAjzbqR8POBl_2bI1sGoNLq&amp;s=bF_Oo3ZwqA7XqtwMZ4hma3X7u3B1QoWmzgAtYe_4gwI&amp;e="" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?q=https://urldefense.proofpoint.com/v2/url?u%3Dhttps-3A__forms.gle_w8gx94sC8cBxXjQF6%26d%3DDwQFaQ%26c%3DslrrB7dE8n7gBJbeO0g-IQ%26r%3DOYrIIbd5Pg13xhpyYLW6YQ%26m%3DEQGLrlBPW3rmdTesYCWxqNVvsgzB6atXJCnL5jyRrbAjzbqR8POBl_2bI1sGoNLq%26s%3DbF_Oo3ZwqA7XqtwMZ4hma3X7u3B1QoWmzgAtYe_4gwI%26e%3D&amp;source=gmail&amp;ust=1727887273017000&amp;usg=AOvVaw358y3WSt_V7VSCjABYoEPi"">https://forms.gle/<wbr />w8gx94sC8cBxXjQF6</a></p>"
10476981,Calculus I Learning Group,2024-10-17T17:00:00-04:00,2024-10-17T18:15:00-04:00,"Silver Center for Arts and Sciences, Hemmerdinger 104",ThoughtfulLearning,[],<p>ULC Learning Groups (LGs) are course specific and give you a chance to practice and test your understanding of the material from the past week's lecture(s) by working through problems in a collaborative group environment. This LG is for students taking Calculus I.</p>
10481782,"Supplemental Learning Group: PSYCH-UA 30, Personality - [Duman's Section]",2024-10-17T17:00:00-04:00,2024-10-17T18:15:00-04:00,"Academic Resource Center (ARC), Room LL05",ThoughtfulLearning,[],"<p>Supplemental Learning Groups (SLGs) are lecture specific and give you a chance to practice and test your understanding of the material from the past week's lecture(s) in a collaborative group environment. This is process-based learning, meaning if you continue to attend, your learning will compound over the course of the semester. One time attendance will likely not be very helpful.<br /><br />In order for this to be effective:<br /><br />- You must come ready to collaborate.<br /><br />- You must come ready to speak.<br /><br />- You must be active.<br /><br />This will be a framework that you might not be used to. In this space, the primary aim is to construct knowledge, which can feel frustrating.</p>"
10581992,SPS SAGA: Gender Working Group Panel- Careers in Gender Equality and Diversity,2024-10-17T16:30:00-04:00,2024-10-17T18:20:00-04:00,SPS Building,ThoughtfulLearning,[],"<p>On October 17th the GWG and SAGA will host a discussion with professionals who work on advancing gender equality in global institutions.&nbsp; The discussion will focus on the types of skills that are useful for policy work on gender equality, and on the types of opportunities and career paths in the global affairs arena that are typically available for those seeking to advance women's rights and broader equality and diversity goals.</p>"
10530900,Beginner Yoga with Phil Schuster,2024-10-17T17:30:00-04:00,2024-10-17T18:30:00-04:00,"238 Thompson Street (GCASL), Room 461",Spirituality,['Health & Wellness'],"<p>This class will be a flow based class with attention to the breath and alignment. We will start the practice with Pranayama and build the class through an arc. Moving on the breath, building heat and stamina. We will explore some fairly more advanced poses to challenge the participants to feel comfortable moving beyond their comfort zone. The class will end with a restorative pose to allow the body to release, relax, and reset.</p>
<p class=""p1"">This hybrid event can be attended in person or via Zoom. See the description for details.</p>"
10582404,Event in the Tent,2024-10-17T17:00:00-04:00,2024-10-17T19:00:00-04:00,Bronfman Center for Jewish Student Life,Spirituality,"['LGBTQ+', 'Religion & Spirituality']",<p>Join Keshet as we decorate the sukkah!</p>
